hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 239.809, -30.1262, 239.744, -150.151, 239.731, 89.8637, 0, 0, 115.921, 131.394, 147.47, 11.6337, 135.918, -108.539, 27.4217, 153.664
0, 0.00000, 239.842, -30.1043, 239.853, -150.119, 239.775, 89.8716, 0, 0, 98.8421, 131.343, 111.106, 11.7266, 130.189, -108.427, 26.8275, 95.0099
0, 0.00000, 239.886, -30.0852, 239.935, -150.093, 239.836, 89.8874, 0, 0, 82.7541, 131.35, 82.8485, 11.7467, 114.897, -108.321, 31.6019, 72.1706
0, 0.00000, 239.911, -30.0829, 239.933, -150.087, 239.885, 89.9035, 0, 0, 80.1672, 131.449, 81.0113, 11.7031, 96.161, -108.306, 15.2902, 75.0538
0, 0.00000, 239.938, -30.0703, 239.982, -150.074, 239.908, 89.9097, 0, 0, 68.8743, 131.442, 65.6718, 11.7778, 91.4784, -108.305, 24.0086, 65.3155
0, 0.00000, 239.978, -30.0609, 240.001, -150.064, 239.955, 89.9266, 0, 0, 59.0275, 131.549, 59.0566, 11.8034, 73.7109, -108.338, 14.4419, 71.7058
0, 0.00000, 239.991, -30.0585, 240.006, -150.061, 239.976, 89.9332, 0, 0, 56.5399, 131.61, 56.7169, 11.756, 66.3541, -108.328, 9.60149, 72.5245
0, 0.00000, 240.019, -30.0515, 240.019, -150.055, 240.003, 89.9432, 0, 0, 49.1131, 131.65, 52.5764, 11.7558, 56.2306, -108.322, 6.08079, 100.972
0, 0.00000, 240.031, -30.0513, 240.012, -150.055, 240.025, 89.9514, 0, 0, 48.3268, 131.72, 54.0555, 11.727, 46.6629, -108.344, 6.67969, -155.533
0, 0.00000, 240.027, -30.0502, 240.028, -150.049, 240.03, 89.9505, 0, 0, 48.5943, 131.695, 47.6108, 11.692, 47.5209, -108.265, 1.00222, -53.6466
0, 0.00000, 240.016, -30.0532, 240.03, -150.047, 240.038, 89.9509, 0, 0, 52.8305, 131.694, 45.1282, 11.6813, 45.9964, -108.255, 7.26133, -42.4851
0, 0.00000, 240.029, -30.0489, 240.032, -150.049, 240.028, 89.9501, 0, 0, 47.3029, 131.672, 46.9279, 11.7106, 48.3541, -108.266, 1.24522, 58.2985
0, 0.00000, 239.99, -30.0615, 240.016, -150.049, 240.034, 89.9466, 0, 0, 62.2828, 131.681, 47.222, 11.6422, 48.6506, -108.226, 14.3023, -43.4523
0, 0.00000, 240.016, -30.0498, 240.036, -150.051, 240.004, 89.9417, 0, 0, 48.5602, 131.616, 46.6475, 11.7532, 58.129, -108.274, 10.5505, 62.8865
0, 0.00000, 240.015, -30.0533, 240.015, -150.056, 240.003, 89.943, 0, 0, 50.9478, 131.648, 53.5357, 11.7332, 56.0115, -108.304, 4.33003, 102.926
0, 0.00000, 239.958, -30.0701, 239.994, -150.058, 239.998, 89.9344, 0, 0, 70.9555, 131.608, 54.5591, 11.6323, 61.1881, -108.214, 14.1115, -24.8592
0, 0.00000, 239.944, -30.07, 239.985, -150.07, 239.93, 89.916, 0, 0, 69.0214, 131.552, 62.9946, 11.7133, 83.8674, -108.316, 18.43, 55.4362
0, 0.00000, 239.904, -30.0842, 239.97, -150.066, 239.958, 89.9177, 0, 0, 86.594, 131.524, 60.8255, 11.5928, 77.292, -108.183, 22.2381, -9.37275
0, 0.00000, 239.882, -30.0988, 239.891, -150.091, 239.915, 89.9092, 0, 0, 97.1834, 131.529, 88.3381, 11.5976, 85.1238, -108.275, 10.7153, -64.6348
0, 0.00000, 239.806, -30.1142, 239.885, -150.095, 239.863, 89.8849, 0, 0, 116.284, 131.361, 87.5749, 11.5409, 109.248, -108.173, 25.1297, -2.28239
0, 0.00000, 239.766, -30.1406, 239.756, -150.132, 239.808, 89.8746, 0, 0, 136.992, 131.498, 130.442, 11.4221, 117.197, -108.372, 17.2139, -90.5013
0, 0.00000, 239.766, -30.138, 239.708, -150.161, 239.69, 89.8511, 0, 0, 128.234, 131.116, 157.346, 11.3547, 148.729, -108.859, 25.5191, 148.965
0, 0.00000, 239.795, -30.137, 239.709, -150.145, 239.793, 89.8824, 0, 0, 129.251, 131.004, 148.33, 10.9644, 111.655, -109.336, 31.381, -139.461
0, 0.00000, 239.792, -30.1374, 239.639, -150.178, 239.675, 89.8618, 0, 0, 123.126, 130.319, 181.217, 10.7631, 140.02, -110.012, 50.5905, 175.638
0, 0.00000, 239.673, -30.1822, 239.541, -150.182, 239.718, 89.863, 0, 0, 174.332, 130.344, 192.985, 10.0035, 126.821, -110.548, 57.7727, -124.449
0, 0.00000, 239.652, -30.1639, 239.688, -150.143, 239.731, 89.853, 0, 0, 166.594, 129.883, 142.001, 9.62324, 139.877, -110.345, 25.6093, -52.8879
0, 0.00000, 239.592, -30.1726, 239.645, -150.172, 239.582, 89.8111, 0, 0, 172.761, 129.52, 164.654, 9.80712, 188.954, -109.929, 20.3185, 53.4629
0, 0.00000, 239.768, -30.1363, 239.653, -150.173, 239.654, 89.8546, 0, 0, 125.058, 129.611, 174.287, 10.246, 149.133, -110.37, 41.7678, 162.641
0, 0.00000, 239.673, -30.1748, 239.56, -150.191, 239.642, 89.8415, 0, 0, 164.783, 130.391, 195.69, 10.2882, 154.327, -109.912, 36.5841, -155.184
0, 0.00000, 239.708, -30.1559, 239.682, -150.154, 239.726, 89.8552, 0, 0, 151.531, 130.675, 153.754, 10.6449, 138.816, -109.221, 13.9337, -118.481
0, 0.00000, 239.613, -30.1966, 239.594, -150.171, 239.73, 89.8447, 0, 0, 193.955, 131.381, 172.77, 10.9703, 139.789, -108.684, 46.1121, -85.7899
0, 0.00000, 239.739, -30.1608, 239.673, -150.148, 239.817, 89.8795, 0, 0, 155.319, 131.616, 152.451, 11.137, 107.56, -108.672, 45.2845, -105.358
0, 0.00000, 239.753, -30.1652, 239.579, -150.189, 239.712, 89.8625, 0, 0, 149.599, 131.804, 195.455, 11.3195, 130.155, -108.805, 56.6496, -151.913
0, 0.00000, 239.697, -30.1788, 239.579, -150.184, 239.713, 89.8536, 0, 0, 167.548, 131.703, 189.264, 11.2199, 135.936, -108.645, 45.1726, -132.854
0, 0.00000, 239.55, -30.2066, 239.57, -150.194, 239.599, 89.8031, 0, 0, 202.538, 131.278, 188.521, 11.232, 186.987, -108.422, 13.917, -55.9143
0, 0.00000, 239.457, -30.2378, 239.47, -150.226, 239.504, 89.7734, 0, 0, 232.553, 131.234, 220.452, 11.2641, 215.688, -108.628, 14.8158, -66.2231
0, 0.00000, 239.422, -30.2733, 239.243, -150.298, 239.377, 89.7547, 0, 0, 254.265, 131.39, 302.068, 11.1509, 235.082, -109.004, 58.2837, -152.507
0, 0.00000, 239.387, -30.2521, 239.364, -150.288, 239.243, 89.7085, 0, 0, 238.26, 131.018, 274.192, 11.492, 293.747, -109.001, 46.4454, 111.055
0, 0.00000, 239.23, -30.3135, 239.309, -150.257, 239.443, 89.7342, 0, 0, 315.115, 131.209, 252.858, 10.8223, 242.06, -108.503, 65.7627, -56.7467
0, 0.00000, 239.243, -30.2899, 239.4, -150.249, 239.368, 89.7121, 0, 0, 293.176, 130.979, 233.819, 11.1365, 273.613, -108.576, 50.513, -8.12409
0, 0.00000, 239.415, -30.2485, 239.414, -150.255, 239.389, 89.7439, 0, 0, 239.852, 131.173, 245.812, 11.3771, 250.098, -108.851, 7.98016, 106.539
0, 0.00000, 239.528, -30.2157, 239.478, -150.239, 239.447, 89.7709, 0, 0, 203.505, 131.303, 231.555, 11.4553, 226.935, -108.882, 24.8869, 140.417
