hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 0.00000, 240.054, -30.0361, 240.098, -150.028, 240.089, 89.9599, 0, 0, 18.1242, 131.728, 10.535, 11.783, 17.4367, -108.033, 7.20488, 7.19632
0, 0.00000, 240.071, -30.0335, 240.098, -150.027, 240.096, 89.965, 0, 0, 16.2962, 131.765, 11.0049, 11.7779, 15.0837, -108.072, 4.76082, -0.743884
0, 0.00000, 240.078, -30.0289, 240.11, -150.027, 240.091, 89.9652, 0, 0, 13.8595, 131.727, 10.22, 11.8102, 15.8772, -108.08, 4.92679, 32.6466
0, 0.00000, 240.064, -30.0313, 240.112, -150.025, 240.094, 89.9621, 0, 0, 15.8527, 131.714, 8.74889, 11.8002, 16.9596, -108.043, 7.65815, 19.0759
0, 0.00000, 240.085, -30.0285, 240.111, -150.023, 240.109, 89.9698, 0, 0, 14.0176, 131.777, 9.02801, 11.7841, 13.0091, -108.098, 4.54299, 0.860804
0, 0.00000, 240.077, -30.0271, 240.124, -150.02, 240.109, 89.9674, 0, 0, 14.0565, 131.734, 6.76413, 11.7864, 14.3953, -108.056, 7.42277, 14.155
0, 0.00000, 240.089, -30.0233, 240.129, -150.021, 240.101, 89.9683, 0, 0, 11.4742, 131.721, 7.46666, 11.8224, 14.9068, -108.096, 6.41791, 39.4199
0, 0.00000, 240.07, -30.0267, 240.127, -150.022, 240.096, 89.9632, 0, 0, 13.8326, 131.702, 6.90194, 11.8064, 17.0215, -108.054, 8.90898, 29.9202
0, 0.00000, 240.065, -30.0266, 240.129, -150.024, 240.085, 89.9598, 0, 0, 13.6642, 131.675, 7.23375, 11.8276, 19.1843, -108.047, 10.3007, 39.4969
0, 0.00000, 240.025, -30.0346, 240.118, -150.033, 240.046, 89.9439, 0, 0, 17.7439, 131.611, 9.54307, 11.8616, 27.2161, -108.005, 15.2117, 44.4636
0, 0.00000, 239.995, -30.0503, 240.075, -150.037, 240.056, 89.9415, 0, 0, 25.952, 131.734, 12.7389, 11.7431, 25.5645, -107.996, 12.9176, 10.5025
0, 0.00000, 240.009, -30.0528, 240.064, -150.03, 240.097, 89.9529, 0, 0, 27.7632, 131.792, 11.7176, 11.6906, 17.9578, -107.973, 13.9242, -25.4899
0, 0.00000, 239.93, -30.0751, 240.019, -150.044, 240.053, 89.9293, 0, 0, 39.5165, 131.797, 16.5628, 11.611, 27.7323, -107.872, 19.693, -18.9631
0, 0.00000, 240.042, -30.0864, 239.866, -150.09, 240.004, 89.9545, 0, 0, 33.6048, 131.987, 48.9106, 11.7182, 15.4627, -108.203, 28.8537, -135.502
0, 0.00000, 240.012, -30.0798, 239.914, -150.084, 239.981, 89.9406, 0, 0, 32.3228, 131.903, 42.3358, 11.7954, 24.2071, -108.203, 15.6681, -141.678
0, 0.00000, 240.017, -30.0375, 240.039, -150.019, 240.087, 89.9731, 0, 0, 22.593, 122.058, 11.4543, -7.76918, 11.9365, -126.609, 11.1588, -45.9321
0, 0.00000, 240.067, -29.9689, 240.129, -149.938, 240.183, 90.0417, 0, 0, 13.0078, 44.3539, 23.7999, -135.481, 19.1117, 114.475, 18.4119, -32.1613
0, 0.00000, 240.118, -29.8977, 240.202, -149.87, 240.229, 90.1055, 0, 0, 33.1744, -4.81475, 50.5641, -141.714, 41.4818, 105.141, 18.4451, -18.7474
0, 0.00000, 240.008, -29.9607, 240.152, -149.925, 240.155, 90.0342, 0, 0, 15.5727, 46.7009, 32.31, -139.884, 17.2199, 135.497, 26.437, -5.61156
0, 0.00000, 239.908, -30.0552, 239.986, -150.008, 240.087, 89.966, 0, 0, 37.9704, 121.353, 9.60885, -33.5606, 14.1549, -136.58, 28.0636, -38.2773
0, 0.00000, 239.928, -30.0371, 240.055, -150.006, 240.057, 89.9581, 0, 0, 28.5744, 118.94, 6.50857, -61.4477, 21.1565, -124.94, 22.9154, -4.8719
0, 0.00000, 239.848, -30.0429, 240.077, -150.028, 239.938, 89.9132, 0, 0, 30.7227, 120.909, 7.27411, -38.2737, 46.2382, -114.804, 35.6814, 34.3219
0, 0.00000, 239.792, -30.0766, 239.989, -150.07, 239.845, 89.8797, 0, 0, 42.1576, 126.161, 23.8621, 2.44565, 60.4864, -111.659, 31.5194, 42.173
0, 0.00000, 239.857, -30.055, 240.081, -150.05, 239.909, 89.8931, 0, 0, 31.7972, 127.217, 12.371, 1.29402, 54.5309, -110.227, 36.2637, 44.832
0, 0.00000, 239.903, -30.0524, 240.084, -150.041, 239.972, 89.9123, 0, 0, 30.1283, 128.11, 10.469, 2.48634, 42.966, -109.961, 27.986, 35.4334
0, 0.00000, 239.898, -30.0665, 240.047, -150.045, 239.995, 89.9144, 0, 0, 36.3618, 129.974, 14.2285, 7.81587, 38.7507, -109.22, 23.0439, 17.1379
0, 0.00000, 239.861, -30.0755, 240.042, -150.064, 239.931, 89.8891, 0, 0, 39.1063, 131.397, 19.4669, 11.8415, 52.0519, -107.703, 27.8684, 35.6855
0, 0.00000, 239.768, -30.0875, 240.034, -150.09, 239.803, 89.8438, 0, 0, 44.3468, 131.122, 25.7116, 11.9734, 77.1633, -107.536, 44.2361, 51.953
0, 0.00000, 239.804, -30.1209, 239.868, -150.113, 239.843, 89.8698, 0, 0, 55.9962, 131.585, 47.1324, 11.8166, 57.7392, -107.889, 9.40977, 21.2629
0, 0.00000, 239.61, -30.1677, 239.827, -150.105, 239.866, 89.8315, 0, 0, 87.5628, 131.542, 38.8285, 11.5846, 68.2998, -107.524, 41.4181, -11.4258
0, 0.00000, 239.559, -30.1764, 239.802, -150.132, 239.754, 89.8002, 0, 0, 89.3745, 131.414, 48.5712, 11.7006, 86.4981, -107.557, 38.0647, 8.44813
0, 0.00000, 239.627, -30.1551, 239.856, -150.112, 239.816, 89.8242, 0, 0, 79.5687, 131.527, 40.1178, 11.6237, 75.8155, -107.607, 36.681, 7.22395
0, 0.00000, 239.581, -30.1974, 239.733, -150.111, 239.908, 89.8377, 0, 0, 102.269, 131.781, 46.2383, 11.3965, 59.186, -107.564, 49.9383, -35.461
0, 0.00000, 239.567, -30.1961, 239.754, -150.101, 239.928, 89.8376, 0, 0, 103.637, 131.696, 40.8895, 11.4622, 58.6181, -107.583, 55.1975, -32.4661
0, 0.00000, 239.833, -30.1159, 239.871, -150.111, 239.859, 89.8792, 0, 0, 52.8072, 131.639, 47.3309, 11.7941, 53.3546, -107.927, 5.42646, 17.4195
0, 0.00000, 239.797, -30.1152, 239.916, -150.088, 239.912, 89.878, 0, 0, 57.3366, 131.595, 34.3882, 11.7127, 52.0004, -107.749, 20.2459, -0.949151
