hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 9.60751, 1.13995, 9.54618, 4.52281, 6.64674, 2.78662, 0, 0
0, 0.00000, 10.6856, 2.80107, 10.6274, 3.9843, 9.63172, 3.34586, 0, 0
0, 0.00000, 8.2559, 1.8413, 9.70532, 2.98617, 7.98532, 3.67156, 0, 0
0, 0.00000, 7.36195, 1.96048, 7.89515, 2.60484, 7.06928, 2.74572, 0, 0
0, 0.00000, 5.57281, 1.40843, 7.53253, 1.70005, 6.29644, 3.25169, 0, 0
0, 0.00000, 4.53222, 1.16217, 7.29015, 1.12721, 5.93678, 3.53274, 0, 0
0, 0.00000, 8.48038, 2.99141, 7.367, 2.8571, 8.04257, 1.95991, 0, 0
0, 0.00000, 6.66702, 0.49261, 8.0221, 3.05201, 5.12514, 2.95051, 0, 0
0, 0.00000, 8.26953, 0.441252, 7.64172, 4.38196, 4.54353, 1.8757, 0, 0
0, 0.00000, 9.61728, 1.60228, 9.03448, 4.32038, 6.97288, 2.46337, 0, 0
0, 0.00000, 10.4094, 0.67309, 11.5601, 5.01638, 7.2193, 3.85316, 0, 0
0, 0.00000, 11.1965, 3.55177, 13.2148, 3.30442, 12.4128, 5.17466, 0, 0
0, 0.00000, 13.5863, 1.04727, 14.686, 6.49218, 9.4153, 4.74146, 0, 0
0, 0.00000, 8.79054, 2.14995, 14.0018, 2.25471, 11.2884, 6.71457, 0, 0
0, 0.00000, 9.97139, 2.45494, 13.3271, 3.09956, 11.0798, 5.68471, 0, 0
0, 0.00000, 8.53489, 2.16803, 11.5586, 2.58146, 9.68001, 4.99392, 0, 0
0, 0.00000, 8.59871, 2.26522, 10.372, 2.81431, 9.00499, 4.07662, 0, 0
0, 0.00000, 10.4209, 2.48397, 9.95195, 4.13644, 8.7563, 2.9088, 0, 0
0, 0.00000, 12.2163, 4.62761, 10.0793, 4.0002, 11.6982, 2.46169, 0, 0
0, 0.00000, 9.45093, 2.2247, 9.4585, 3.68079, 8.19341, 2.96307, 0, 0
0, 0.00000, 8.47811, 2.17196, 8.53402, 3.1752, 7.63693, 2.72435, 0, 0
0, 0.00000, 7.58177, 2.32228, 7.79665, 2.54758, 7.4936, 2.62148, 0, 0
0, 0.00000, 8.87525, 2.43109, 8.93939, 3.21198, 8.23075, 2.87901, 0, 0
0, 0.00000, 8.05522, 1.83166, 7.67043, 3.26669, 6.62065, 2.21905, 0, 0
0, 0.00000, 6.17591, 1.44856, 5.40961, 2.57798, 4.81572, 1.35149, 0, 0
0, 0.00000, 4.74685, 1.08239, 4.11641, 2.01292, 3.62644, 1.00284, 0, 0
