hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 3.54673, 0.120071, 2.66795, 2.05508, 1.43175, 0.32702, 0, 0
0, 0.00000, 3.59618, 0.0987055, 2.73603, 2.09291, 1.43925, 0.351395, 0, 0
0, 0.00000, 3.5615, 0.0877638, 2.71222, 2.07907, 1.41251, 0.348416, 0, 0
0, 0.00000, 3.44633, 0.160231, 2.53219, 1.98013, 1.41336, 0.278954, 0, 0
0, 0.00000, 3.65692, 0.203054, 2.70001, 2.07591, 1.55673, 0.311257, 0, 0
0, 0.00000, 3.52321, 0.296657, 2.58689, 1.9346, 1.63675, 0.305176, 0, 0
0, 0.00000, 3.47131, 0.145004, 2.53421, 2.00876, 1.38889, 0.265786, 0, 0
0, 0.00000, 2.72942, 0.370349, 2.09698, 1.38621, 1.53355, 0.330787, 0, 0
0, 0.00000, 2.68292, 0.36079, 2.02619, 1.37205, 1.4789, 0.297887, 0, 0
0, 0.00000, 2.31442, 0.85114, 1.71629, 0.823417, 2.03948, 0.319283, 0, 0
0, 0.00000, 3.74143, 1.0011, 2.49445, 1.64293, 2.56243, 0.242311, 0, 0
0, 0.00000, 3.36238, 0.85735, 2.77588, 1.39413, 2.60442, 0.617974, 0, 0
0, 0.00000, 3.40696, 0.727222, 3.1553, 1.43724, 2.66629, 0.8645, 0, 0
0, 0.00000, 3.18808, 1.07446, 3.42698, 0.977564, 3.39137, 1.23287, 0, 0
0, 0.00000, 4.06666, 0.58518, 4.54744, 1.74241, 3.30465, 1.58059, 0, 0
0, 0.00000, 7.24211, 0.522282, 6.6387, 3.75071, 4.14471, 1.6158, 0, 0
0, 0.00000, 7.87412, 3.25509, 6.46407, 2.41369, 7.8988, 1.61273, 0, 0
0, 0.00000, 9.86628, 1.53785, 7.48604, 4.86911, 5.79278, 1.14471, 0, 0
0, 0.00000, 8.94267, 1.3618, 7.29595, 4.33016, 5.54963, 1.42202, 0, 0
0, 0.00000, 6.17705, 1.30562, 5.70504, 2.61409, 4.80808, 1.5518, 0, 0
0, 0.00000, 6.24937, 1.48384, 6.86963, 2.30214, 5.85042, 2.43062, 0, 0
0, 0.00000, 7.90057, 2.52765, 7.02135, 2.81416, 7.21344, 1.90972, 0, 0
0, 0.00000, 7.1732, 2.70136, 6.46228, 2.26017, 7.20031, 1.86483, 0, 0
0, 0.00000, 7.02953, 3.38657, 5.18785, 1.94772, 7.35599, 1.07139, 0, 0
0, 0.00000, 8.35493, 3.41142, 4.79969, 3.01972, 6.91882, 0.136548, 0, 0
0, 0.00000, 6.80559, 2.26595, 5.47088, 2.4857, 5.94869, 1.22011, 0, 0
0, 0.00000, 4.52603, 1.45017, 8.93544, 0.568658, 7.49126, 4.82728, 0, 0
0, 0.00000, 4.9057, 1.74303, 7.70938, 0.923147, 7.01587, 3.76051, 0, 0
0, 0.00000, 5.14527, 1.76964, 6.64702, 1.31391, 6.28998, 2.842, 0, 0
0, 0.00000, 6.90365, 3.28137, 7.18863, 1.50571, 8.58379, 2.63904, 0, 0
0, 0.00000, 8.0294, 1.89773, 7.3621, 3.26831, 6.50919, 2.00611, 0, 0
0, 0.00000, 11.3104, 0.726233, 10.7279, 5.83217, 6.59748, 2.77942, 0, 0
0, 0.00000, 10.9587, 4.98627, 9.03032, 3.02935, 11.6913, 2.33595, 0, 0
0, 0.00000, 7.9819, 3.09003, 8.08213, 2.26894, 8.74306, 2.76563, 0, 0
0, 0.00000, 7.64539, 2.42249, 7.17864, 2.65897, 7.20753, 2.1367, 0, 0
0, 0.00000, 7.20436, 1.49209, 7.56472, 2.8758, 6.18591, 2.49693, 0, 0
0, 0.00000, 8.0706, 2.26185, 8.30681, 2.85325, 7.67632, 2.76256, 0, 0
0, 0.00000, 7.51346, 2.7017, 7.96614, 2.20209, 8.17216, 2.84352, 0, 0
0, 0.00000, 5.81853, 1.69625, 8.60029, 1.46217, 7.41021, 3.98798, 0, 0
0, 0.00000, 5.79329, 1.48068, 7.83938, 1.75164, 6.58034, 3.38821, 0, 0
0, 0.00000, 5.74522, 2.06554, 6.41111, 1.61908, 6.46443, 2.41869, 0, 0
0, 0.00000, 4.82183, 1.3492, 5.16025, 1.66875, 4.71414, 1.80219, 0, 0
0, 0.00000, 4.38598, 1.02933, 4.52757, 1.68803, 3.88625, 1.48156, 0, 0
0, 0.00000, 2.89804, 0.832298, 2.9269, 1.02664, 2.74415, 0.954518, 0, 0
0, 0.00000, 2.39666, 0.788487, 1.85972, 0.898578, 2.03295, 0.378557, 0, 0
0, 0.00000, 2.21908, 0.519843, 1.75025, 0.969218, 1.59557, 0.3386, 0, 0
0, 0.00000, 2.04774, 0.551701, 1.6596, 0.836248, 1.60731, 0.357896, 0, 0
0, 0.00000, 1.77944, 0.619315, 1.35992, 0.64881, 1.5442, 0.270758, 0, 0
0, 0.00000, 1.91273, 0.559796, 1.42749, 0.776528, 1.48248, 0.247971, 0, 0
0, 0.00000, 1.70019, 0.541882, 1.34957, 0.64339, 1.43702, 0.289013, 0, 0
0, 0.00000, 1.74295, 0.496026, 1.39533, 0.69756, 1.39465, 0.295779, 0, 0
0, 0.00000, 1.97145, 0.525676, 1.5707, 0.814534, 1.52098, 0.323102, 0, 0
0, 0.00000, 1.78608, 0.609294, 1.32827, 0.667305, 1.507, 0.241841, 0, 0
0, 0.00000, 1.72975, 0.570254, 1.41403, 0.633045, 1.51755, 0.328241, 0, 0
0, 0.00000, 2.16417, 0.592992, 2.13489, 0.797212, 1.97267, 0.669789, 0, 0
0, 0.00000, 3.76273, 1.26853, 2.47119, 1.48137, 2.93301, 0.256539, 0, 0
0, 0.00000, 3.16139, 1.61797, 2.7878, 0.720699, 3.7518, 0.845532, 0, 0
0, 0.00000, 3.65956, 1.97356, 5.13219, 0.361059, 5.79171, 2.44185, 0, 0
0, 0.00000, 6.44087, 1.86595, 5.40566, 2.49264, 5.38107, 1.28316, 0, 0
0, 0.00000, 7.05776, 1.3385, 6.48765, 3.08899, 5.257, 1.72109, 0, 0
0, 0.00000, 5.47995, 1.30258, 5.31846, 2.1659, 4.65159, 1.59482, 0, 0
0, 0.00000, 6.10138, 1.22789, 6.9206, 2.35137, 5.53749, 2.49973, 0, 0
0, 0.00000, 4.42073, 0.609782, 6.22393, 1.64149, 4.42794, 2.68769, 0, 0
0, 0.00000, 8.06768, 0.310675, 7.32944, 4.37274, 4.18099, 1.70494, 0, 0
0, 0.00000, 6.23664, 2.10092, 5.58038, 2.14274, 5.87266, 1.55354, 0, 0
0, 0.00000, 6.27117, 2.1209, 6.01302, 2.06293, 6.19245, 1.86833, 0, 0
0, 0.00000, 7.87103, 1.93063, 7.95475, 2.99653, 6.98967, 2.53685, 0, 0
0, 0.00000, 6.03728, 1.05906, 6.18222, 2.57245, 4.79898, 1.94209, 0, 0
0, 0.00000, 6.28821, 0.602767, 5.51498, 3.21172, 3.64246, 1.23892, 0, 0
0, 0.00000, 4.38742, 0.875557, 4.3234, 1.83666, 3.52307, 1.30104, 0, 0
0, 0.00000, 6.43276, 0.187788, 5.86746, 3.52727, 3.2582, 1.36963, 0, 0
0, 0.00000, 3.9059, 0.950527, 3.73497, 1.54281, 3.30755, 1.09885, 0, 0
0, 0.00000, 2.98522, 0.542856, 3.09894, 1.25383, 2.42631, 0.997018, 0, 0
0, 0.00000, 4.2855, 0.54505, 3.40921, 2.17447, 2.43648, 0.601413, 0, 0
0, 0.00000, 3.61907, 0.62335, 4.32744, 1.42145, 3.2818, 1.63614, 0, 0
0, 0.00000, 5.35577, 1.03074, 4.87682, 2.34945, 3.97443, 1.27592, 0, 0
0, 0.00000, 5.0412, 1.14289, 4.34585, 2.14717, 3.82405, 1.04328, 0, 0
0, 0.00000, 7.84894, 1.05136, 8.15078, 3.54064, 5.84376, 2.55912, 0, 0
0, 0.00000, 13.0626, 2.72993, 12.915, 5.34557, 10.7235, 3.91296, 0, 0
0, 0.00000, 8.69404, 2.459, 8.492, 3.15302, 7.9921, 2.6316, 0, 0
0, 0.00000, 8.40115, 1.89147, 8.53797, 3.30765, 7.24292, 2.71913, 0, 0
0, 0.00000, 9.13717, 1.22883, 9.54465, 4.10163, 6.85249, 3.02043, 0, 0
0, 0.00000, 8.94428, 1.55783, 8.17568, 4.02148, 6.42684, 2.12592, 0, 0
0, 0.00000, 7.95623, 1.26027, 7.3275, 3.65321, 5.56981, 1.91386, 0, 0
0, 0.00000, 7.54603, 1.61809, 7.69037, 3.02298, 6.40136, 2.44649, 0, 0
0, 0.00000, 7.66514, 2.15757, 9.48004, 2.36496, 8.39149, 3.83308, 0, 0
0, 0.00000, 6.74117, 1.89996, 6.25956, 2.52196, 5.96196, 1.79427, 0, 0
0, 0.00000, 6.70459, 1.53124, 6.66272, 2.65878, 5.70715, 2.05944, 0, 0
0, 0.00000, 6.42427, 1.77915, 6.37511, 2.33872, 5.91509, 2.0167, 0, 0
0, 0.00000, 5.29248, 1.25232, 5.52036, 2.0169, 4.74413, 1.83233, 0, 0
0, 0.00000, 3.92217, 1.06369, 4.32077, 1.35558, 3.86852, 1.55494, 0, 0
0, 0.00000, 4.03012, 1.47794, 3.16058, 1.39878, 3.6642, 0.685309, 0, 0
